query_id,articleType,P@1,R@1,AP@1,nDCG@1,P@5,R@5,AP@5,nDCG@5,P@10,R@10,AP@10,nDCG@10
4090,Tshirts,1.0,0.00016388069485414618,1.0,1.0,1.0,0.0008194034742707309,1.0,0.9112894595707336,0.8,0.0013110455588331695,0.7434920634920634,0.7594357247556418
26783,Deodorant,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.019908443807551662,0.0,0.0,0.0,0.018023776726687365
30499,Bra,1.0,0.0037313432835820895,1.0,1.0,0.2,0.0037313432835820895,0.2,0.35885528562775426,0.2,0.007462686567164179,0.12222222222222223,0.31622847928011355
5015,Capris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035380571169028735,0.0,0.0,0.0,0.037941172697648885
48765,Jewellery Set,1.0,0.03333333333333333,1.0,0.47688119626122066,0.2,0.03333333333333333,0.2,0.2665368818655148,0.1,0.03333333333333333,0.1,0.2192811791287034
20774,Heels,1.0,0.001059322033898305,1.0,1.0,0.6,0.0031779661016949155,0.55,0.5872745810263944,0.7,0.007415254237288136,0.5313095238095238,0.5459150223607521
44385,Deodorant,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.041329878097105394,0.3,0.011363636363636364,0.06928571428571428,0.16640460644383095
30279,Sunglasses,1.0,0.0010604453870625664,1.0,0.47688119626122066,1.0,0.005302226935312832,1.0,0.5104249089466638,1.0,0.010604453870625663,1.0,0.4448587883743694
27427,Lounge Shorts,1.0,0.03225806451612903,1.0,1.0,0.2,0.03225806451612903,0.2,0.34775420514361316,0.1,0.03225806451612903,0.1,0.2416909528424251
35362,Heels,0.0,0.0,0.0,0.01915224298978878,0.2,0.001059322033898305,0.1,0.1113392411032437,0.1,0.001059322033898305,0.05,0.07365663278811109
48756,Jewellery Set,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.02927124611899133,0.1,0.03333333333333333,0.01,0.09108734341583864
20053,Mufflers,0.0,0.0,0.0,0.0,0.6,0.08571428571428572,0.2866666666666666,0.31175346033699747,0.5,0.14285714285714285,0.23777777777777773,0.33960862956342763
48617,Earrings,0.0,0.0,0.0,0.0,0.6,0.018404907975460124,0.3833333333333333,0.44092417678477563,0.5,0.03067484662576687,0.29166666666666663,0.34957962240132856
11276,Sweatshirts,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.0450695406964754,0.0,0.0,0.0,0.04022934946446538
